Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Ts01,Chrome 118.0.0.0,,,16-01-2024 15:17:09,16-01-2024 15:18:45,1m - 36.689s,PASSED
,,,,,,,
Test Cases/Search By Keyword kru,Chrome 118.0.0.0,,,16-01-2024 15:17:09,16-01-2024 15:17:36,27.196s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,16-01-2024 15:17:09,16-01-2024 15:17:10,1.302s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 118.0.0.0,,,16-01-2024 15:17:10,16-01-2024 15:17:34,23.283s,PASSED
"setText(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""kru"")",Chrome 118.0.0.0,,,16-01-2024 15:17:34,16-01-2024 15:17:35,1.466s,PASSED
"click(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Chrome 118.0.0.0,,,16-01-2024 15:17:35,16-01-2024 15:17:36,0.642s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,16-01-2024 15:17:36,16-01-2024 15:17:36,0.305s,PASSED
,,,,,,,
Test Cases/Search By Keyword npru,Chrome 118.0.0.0,,,16-01-2024 15:17:36,16-01-2024 15:17:39,2.933s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,16-01-2024 15:17:36,16-01-2024 15:17:37,0.555s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 118.0.0.0,,,16-01-2024 15:17:37,16-01-2024 15:17:37,0.808s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/textarea_q""), ""npru"")",Chrome 118.0.0.0,,,16-01-2024 15:17:37,16-01-2024 15:17:38,0.548s,PASSED
"click(findTestObject(""Object Repository/Page_Google/span_NPRU""))",Chrome 118.0.0.0,,,16-01-2024 15:17:38,16-01-2024 15:17:39,0.854s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,16-01-2024 15:17:39,16-01-2024 15:17:39,0.097s,PASSED
,,,,,,,
Test Cases/Search By Keyword pbru,Chrome 118.0.0.0,,,16-01-2024 15:17:39,16-01-2024 15:18:09,29.647s,PASSED
"openBrowser("""")",Chrome 118.0.0.0,,,16-01-2024 15:17:39,16-01-2024 15:17:40,0.546s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 118.0.0.0,,,16-01-2024 15:17:40,16-01-2024 15:18:03,23.412s,PASSED
"setText(findTestObject(""Page_Yahoo  Mail, Weather, Search, Politics_802e32/input_p""), ""pbru"")",Chrome 118.0.0.0,,,16-01-2024 15:18:03,16-01-2024 15:18:06,2.593s,PASSED
"click(findTestObject(""Page_Yahoo  Mail, Weather, Search, Politics_802e32/buttonybar-search""))",Chrome 118.0.0.0,,,16-01-2024 15:18:06,16-01-2024 15:18:06,0.627s,PASSED
